p,p_mod40,S_p,sgn
463679,39,-1,-1
463891,11,1,1
464131,11,1,1
464251,11,1,1
464279,39,-1,-1
464291,11,1,1
464351,31,1,1
464371,11,1,1
464419,19,-1,-1
464459,19,-1,-1
464539,19,-1,-1
464591,31,1,1
464699,19,-1,-1
464771,11,1,1
464819,19,-1,-1
464879,39,-1,-1
464951,31,1,1
464999,39,-1,-1
465011,11,1,1
465119,39,-1,-1
465271,31,1,1
465299,19,-1,-1
465319,39,-1,-1
465331,11,1,1
465419,19,-1,-1
465611,11,1,1
465631,31,1,1
465659,19,-1,-1
465739,19,-1,-1
466079,39,-1,-1
466091,11,1,1
466139,19,-1,-1
466331,11,1,1
466451,11,1,1
466619,19,-1,-1
466651,11,1,1
466751,31,1,1
466819,19,-1,-1
466859,19,-1,-1
466919,39,-1,-1
466951,31,1,1
467119,39,-1,-1
467171,11,1,1
467239,39,-1,-1
467399,39,-1,-1
467431,31,1,1
467471,31,1,1
467491,11,1,1
467531,11,1,1
467591,31,1,1
467699,19,-1,-1
467879,39,-1,-1
467899,19,-1,-1
468011,11,1,1
468059,19,-1,-1
468071,31,1,1
468151,31,1,1
468191,31,1,1
468239,39,-1,-1
468319,39,-1,-1
468359,39,-1,-1
468439,39,-1,-1
468451,11,1,1
468491,11,1,1
468551,31,1,1
468599,39,-1,-1
468691,11,1,1
468719,39,-1,-1
468851,11,1,1
468859,19,-1,-1
468899,19,-1,-1
469031,31,1,1
469099,19,-1,-1
469219,19,-1,-1
469279,39,-1,-1
469331,11,1,1
469379,19,-1,-1
469439,39,-1,-1
469631,31,1,1
469691,11,1,1
469811,11,1,1
469891,11,1,1
469919,39,-1,-1
469979,19,-1,-1
470039,39,-1,-1
470179,19,-1,-1
470219,19,-1,-1
470279,39,-1,-1
470359,39,-1,-1
470399,39,-1,-1
470411,11,1,1
470531,11,1,1
470539,19,-1,-1
470579,19,-1,-1
470599,39,-1,-1
470651,11,1,1
470779,19,-1,-1
470831,31,1,1
470999,39,-1,-1
471299,19,-1,-1
471391,31,1,1
471439,39,-1,-1
471539,19,-1,-1
471571,11,1,1
471619,19,-1,-1
471659,19,-1,-1
471671,31,1,1
471719,39,-1,-1
471791,31,1,1
471959,39,-1,-1
472019,19,-1,-1
472139,19,-1,-1
472319,39,-1,-1
472331,11,1,1
472411,11,1,1
472559,39,-1,-1
472691,11,1,1
472751,31,1,1
472799,39,-1,-1
472831,31,1,1
472859,19,-1,-1
473159,39,-1,-1
473219,19,-1,-1
473279,39,-1,-1
473351,31,1,1
473411,11,1,1
473419,19,-1,-1
473519,39,-1,-1
473531,11,1,1
473579,19,-1,-1
473611,11,1,1
473719,39,-1,-1
473899,19,-1,-1
473939,19,-1,-1
473999,39,-1,-1
474059,19,-1,-1
474359,39,-1,-1
474379,19,-1,-1
474391,31,1,1
474479,39,-1,-1
474499,19,-1,-1
474571,11,1,1
474619,19,-1,-1
474659,19,-1,-1
474671,31,1,1
474751,31,1,1
474779,19,-1,-1
474811,11,1,1
474839,39,-1,-1
474899,19,-1,-1
474911,31,1,1
474959,39,-1,-1
475051,11,1,1
475151,31,1,1
475159,39,-1,-1
475219,19,-1,-1
475271,31,1,1
475331,11,1,1
475351,31,1,1
475379,19,-1,-1
475639,39,-1,-1
475691,11,1,1
475751,31,1,1
475759,39,-1,-1
475831,31,1,1
475859,19,-1,-1
475879,39,-1,-1
475991,31,1,1
476039,39,-1,-1
476111,31,1,1
476219,19,-1,-1
476279,39,-1,-1
476419,19,-1,-1
476479,39,-1,-1
476519,39,-1,-1
476579,19,-1,-1
476591,31,1,1
476611,11,1,1
476639,39,-1,-1
476759,39,-1,-1
476831,31,1,1
476911,31,1,1
477131,11,1,1
477359,39,-1,-1
477439,39,-1,-1
477539,19,-1,-1
477551,31,1,1
477571,11,1,1
477619,19,-1,-1
477671,31,1,1
477739,19,-1,-1
477791,31,1,1
477839,39,-1,-1
477899,19,-1,-1
478039,39,-1,-1
478111,31,1,1
478139,19,-1,-1
478171,11,1,1
478259,19,-1,-1
478391,31,1,1
478451,11,1,1
478571,11,1,1
478679,39,-1,-1
478711,31,1,1
478739,19,-1,-1
478871,31,1,1
478879,39,-1,-1
478931,11,1,1
478991,31,1,1
479231,31,1,1
479239,39,-1,-1
479431,31,1,1
479599,39,-1,-1
479639,39,-1,-1
479771,11,1,1
479839,39,-1,-1
479879,39,-1,-1
479891,11,1,1
479939,19,-1,-1
479951,31,1,1
479971,11,1,1
480019,19,-1,-1
480059,19,-1,-1
480071,31,1,1
480091,11,1,1
480299,19,-1,-1
480379,19,-1,-1
480419,19,-1,-1
480499,19,-1,-1
480731,11,1,1
480839,39,-1,-1
480911,31,1,1
480919,39,-1,-1
480959,39,-1,-1
480979,19,-1,-1
481199,39,-1,-1
481211,11,1,1
481231,31,1,1
481379,19,-1,-1
481571,11,1,1
481619,19,-1,-1
481639,39,-1,-1
481651,11,1,1
481751,31,1,1
482039,39,-1,-1
482051,11,1,1
482071,31,1,1
482099,19,-1,-1
482231,31,1,1
482399,39,-1,-1
482519,39,-1,-1
482659,19,-1,-1
482711,31,1,1
482719,39,-1,-1
482731,11,1,1
482759,39,-1,-1
482819,19,-1,-1
483031,31,1,1
483071,31,1,1
483179,19,-1,-1
483239,39,-1,-1
483251,11,1,1
483491,11,1,1
483499,19,-1,-1
483551,31,1,1
483611,11,1,1
483619,19,-1,-1
483671,31,1,1
483719,39,-1,-1
483751,31,1,1
483811,11,1,1
483839,39,-1,-1
483971,11,1,1
483991,31,1,1
484019,19,-1,-1
484079,39,-1,-1
484091,11,1,1
484111,31,1,1
484151,31,1,1
484259,19,-1,-1
484339,19,-1,-1
484439,39,-1,-1
484459,19,-1,-1
484531,11,1,1
484751,31,1,1
485059,19,-1,-1
485131,11,1,1
485171,11,1,1
485351,31,1,1
485371,11,1,1
485411,11,1,1
485519,39,-1,-1
485671,31,1,1
485819,19,-1,-1
485899,19,-1,-1
486071,31,1,1
486119,39,-1,-1
486379,19,-1,-1
486391,31,1,1
486491,11,1,1
486511,31,1,1
486539,19,-1,-1
486671,31,1,1
486679,39,-1,-1
486839,39,-1,-1
486991,31,1,1
487051,11,1,1
487079,39,-1,-1
487099,19,-1,-1
487111,31,1,1
487211,11,1,1
487219,19,-1,-1
487391,31,1,1
487471,31,1,1
487651,11,1,1
487691,11,1,1
487811,11,1,1
487819,19,-1,-1
487979,19,-1,-1
488011,11,1,1
488051,11,1,1
488119,39,-1,-1
488171,11,1,1
488231,31,1,1
488239,39,-1,-1
488339,19,-1,-1
488399,39,-1,-1
488459,19,-1,-1
488539,19,-1,-1
488639,39,-1,-1
488651,11,1,1
488759,39,-1,-1
488779,19,-1,-1
488879,39,-1,-1
488959,39,-1,-1
489011,11,1,1
489019,19,-1,-1
489179,19,-1,-1
489239,39,-1,-1
489299,19,-1,-1
489479,39,-1,-1
489539,19,-1,-1
489551,31,1,1
489571,11,1,1
489659,19,-1,-1
489791,31,1,1
489851,11,1,1
489911,31,1,1
489959,39,-1,-1
490019,19,-1,-1
490031,31,1,1
490111,31,1,1
490151,31,1,1
490159,39,-1,-1
490271,31,1,1
490339,19,-1,-1
490459,19,-1,-1
490499,19,-1,-1
490519,39,-1,-1
490559,39,-1,-1
490571,11,1,1
490591,31,1,1
490619,19,-1,-1
490631,31,1,1
490859,19,-1,-1
490891,11,1,1
490951,31,1,1
491039,39,-1,-1
491059,19,-1,-1
491159,39,-1,-1
491219,19,-1,-1
491279,39,-1,-1
491299,19,-1,-1
491339,19,-1,-1
491531,11,1,1
491539,19,-1,-1
491591,31,1,1
491611,11,1,1
491639,39,-1,-1
491651,11,1,1
491719,39,-1,-1
491819,19,-1,-1
491851,11,1,1
491899,19,-1,-1
492059,19,-1,-1
492251,11,1,1
492299,19,-1,-1
492319,39,-1,-1
492431,31,1,1
492491,11,1,1
492551,31,1,1
492619,19,-1,-1
492659,19,-1,-1
492671,31,1,1
492719,39,-1,-1
492731,11,1,1
492839,39,-1,-1
492871,31,1,1
492979,19,-1,-1
493111,31,1,1
493139,19,-1,-1
493159,39,-1,-1
493211,11,1,1
493219,19,-1,-1
493279,39,-1,-1
493351,31,1,1
493399,39,-1,-1
493531,11,1,1
493711,31,1,1
493859,19,-1,-1
493919,39,-1,-1
493931,11,1,1
493939,19,-1,-1
493979,19,-1,-1
494051,11,1,1
494359,39,-1,-1
494471,31,1,1
494519,39,-1,-1
494539,19,-1,-1
494591,31,1,1
494639,39,-1,-1
494651,11,1,1
494699,19,-1,-1
494719,39,-1,-1
494731,11,1,1
494759,39,-1,-1
494939,19,-1,-1
495071,31,1,1
495119,39,-1,-1
495139,19,-1,-1
495211,11,1,1
495359,39,-1,-1
495371,11,1,1
495491,11,1,1
495511,31,1,1
495559,39,-1,-1
495571,11,1,1
495611,11,1,1
495619,19,-1,-1
495679,39,-1,-1
495799,39,-1,-1
495851,11,1,1
495899,19,-1,-1
495931,11,1,1
496019,19,-1,-1
496039,39,-1,-1
496051,11,1,1
496079,39,-1,-1
496211,11,1,1
496231,31,1,1
496291,11,1,1
496339,19,-1,-1
496399,39,-1,-1
496439,39,-1,-1
496459,19,-1,-1
496499,19,-1,-1
496511,31,1,1
496579,19,-1,-1
496631,31,1,1
496711,31,1,1
496871,31,1,1
496891,11,1,1
496919,39,-1,-1
496999,39,-1,-1
497051,11,1,1
497111,31,1,1
497171,11,1,1
497239,39,-1,-1
497279,39,-1,-1
497291,11,1,1
497339,19,-1,-1
497351,31,1,1
497411,11,1,1
497579,19,-1,-1
497659,19,-1,-1
497711,31,1,1
497719,39,-1,-1
497831,31,1,1
497851,11,1,1
497899,19,-1,-1
497999,39,-1,-1
498119,39,-1,-1
498259,19,-1,-1
498271,31,1,1
498331,11,1,1
498391,31,1,1
498439,39,-1,-1
498599,39,-1,-1
498611,11,1,1
498679,39,-1,-1
498691,11,1,1
498739,19,-1,-1
498779,19,-1,-1
498791,31,1,1
499039,39,-1,-1
499139,19,-1,-1
499151,31,1,1
499211,11,1,1
499391,31,1,1
499439,39,-1,-1
499559,39,-1,-1
499571,11,1,1
499679,39,-1,-1
499691,11,1,1
499711,31,1,1
499819,19,-1,-1
499879,39,-1,-1
499979,19,-1,-1
500111,31,1,1
500179,19,-1,-1
500239,39,-1,-1
500299,19,-1,-1
500471,31,1,1
500519,39,-1,-1
500579,19,-1,-1
500671,31,1,1
500699,19,-1,-1
500719,39,-1,-1
500839,39,-1,-1
500891,11,1,1
501019,19,-1,-1
501031,31,1,1
501131,11,1,1
501139,19,-1,-1
501299,19,-1,-1
501419,19,-1,-1
501451,11,1,1
501659,19,-1,-1
501719,39,-1,-1
501731,11,1,1
501779,19,-1,-1
501911,31,1,1
501971,11,1,1
502039,39,-1,-1
502079,39,-1,-1
502171,11,1,1
502259,19,-1,-1
502451,11,1,1
502499,19,-1,-1
502631,31,1,1
502651,11,1,1
502771,11,1,1
502919,39,-1,-1
503039,39,-1,-1
503159,39,-1,-1
503231,31,1,1
503339,19,-1,-1
503431,31,1,1
503599,39,-1,-1
503771,11,1,1
503819,19,-1,-1
503851,11,1,1
503879,39,-1,-1
503939,19,-1,-1
503959,39,-1,-1
504299,19,-1,-1
504359,39,-1,-1
504479,39,-1,-1
504599,39,-1,-1
504631,31,1,1
504871,31,1,1
504991,31,1,1
505031,31,1,1
505091,11,1,1
505111,31,1,1
505159,39,-1,-1
505319,39,-1,-1
505339,19,-1,-1
505399,39,-1,-1
505511,31,1,1
505559,39,-1,-1
505619,19,-1,-1
505691,11,1,1
505819,19,-1,-1
505871,31,1,1
505919,39,-1,-1
506071,31,1,1
506119,39,-1,-1
506131,11,1,1
506171,11,1,1
506291,11,1,1
506339,19,-1,-1
506351,31,1,1
506459,19,-1,-1
506479,39,-1,-1
506599,39,-1,-1
506699,19,-1,-1
506791,31,1,1
506899,19,-1,-1
506911,31,1,1
506999,39,-1,-1
507071,31,1,1
507119,39,-1,-1
507139,19,-1,-1
507359,39,-1,-1
507431,31,1,1
507499,19,-1,-1
507691,11,1,1
507719,39,-1,-1
507779,19,-1,-1
507839,39,-1,-1
507971,11,1,1
508019,19,-1,-1
508091,11,1,1
508259,19,-1,-1
508271,31,1,1
508451,11,1,1
508471,31,1,1
508499,19,-1,-1
508531,11,1,1
508559,39,-1,-1
508799,39,-1,-1
508919,39,-1,-1
508931,11,1,1
509359,39,-1,-1
509699,19,-1,-1
509879,39,-1,-1
509939,19,-1,-1
510031,31,1,1
510179,19,-1,-1
510199,39,-1,-1
510271,31,1,1
510299,19,-1,-1
510311,31,1,1
510331,11,1,1
510379,19,-1,-1
510451,11,1,1
510611,11,1,1
510619,19,-1,-1
510691,11,1,1
510751,31,1,1
510919,39,-1,-1
510931,11,1,1
511019,19,-1,-1
511111,31,1,1
511151,31,1,1
511211,11,1,1
511279,39,-1,-1
511351,31,1,1
511391,31,1,1
511439,39,-1,-1
511559,39,-1,-1
511579,19,-1,-1
511591,31,1,1
511631,31,1,1
511691,11,1,1
511811,11,1,1
511859,19,-1,-1
511891,11,1,1
511991,31,1,1
512419,19,-1,-1
512531,11,1,1
512579,19,-1,-1
512591,31,1,1
512671,31,1,1
512779,19,-1,-1
512819,19,-1,-1
512891,11,1,1
512899,19,-1,-1
512999,39,-1,-1
513031,31,1,1
513131,11,1,1
513239,39,-1,-1
513311,31,1,1
513319,39,-1,-1
513419,19,-1,-1
513431,31,1,1
513439,39,-1,-1
513479,39,-1,-1
513631,31,1,1
513679,39,-1,-1
513719,39,-1,-1
513739,19,-1,-1
513839,39,-1,-1
513899,19,-1,-1
513991,31,1,1
514079,39,-1,-1
514219,19,-1,-1
514271,31,1,1
514379,19,-1,-1
514399,39,-1,-1
514499,19,-1,-1
514519,39,-1,-1
514571,11,1,1
514739,19,-1,-1
514751,31,1,1
514819,19,-1,-1
514831,31,1,1
514859,19,-1,-1
514939,19,-1,-1
515111,31,1,1
515191,31,1,1
515279,39,-1,-1
515311,31,1,1
515351,31,1,1
515519,39,-1,-1
515539,19,-1,-1
515579,19,-1,-1
515611,11,1,1
515639,39,-1,-1
515651,11,1,1
515951,31,1,1
516091,11,1,1
516151,31,1,1
516179,19,-1,-1
516199,39,-1,-1
516251,11,1,1
516359,39,-1,-1
516371,11,1,1
516431,31,1,1
516499,19,-1,-1
516539,19,-1,-1
516599,39,-1,-1
516611,11,1,1
516811,11,1,1
516839,39,-1,-1
516871,31,1,1
516911,31,1,1
516959,39,-1,-1
516991,31,1,1
517079,39,-1,-1
517151,31,1,1
517211,11,1,1
517399,39,-1,-1
517471,31,1,1
517499,19,-1,-1
517511,31,1,1
517619,19,-1,-1
517739,19,-1,-1
517831,31,1,1
517919,39,-1,-1
517931,11,1,1
517999,39,-1,-1
518059,19,-1,-1
518099,19,-1,-1
518159,39,-1,-1
518171,11,1,1
518179,19,-1,-1
518191,31,1,1
518291,11,1,1
518411,11,1,1
518471,31,1,1
518611,11,1,1
518699,19,-1,-1
518759,39,-1,-1
518779,19,-1,-1
518831,31,1,1
519011,11,1,1
519031,31,1,1
519119,39,-1,-1
519131,11,1,1
519371,11,1,1
519539,19,-1,-1
519551,31,1,1
519611,11,1,1
519619,19,-1,-1
519691,11,1,1
519919,39,-1,-1
519971,11,1,1
520019,19,-1,-1
520151,31,1,1
520279,39,-1,-1
520379,19,-1,-1
520631,31,1,1
520679,39,-1,-1
520691,11,1,1
520759,39,-1,-1
521039,39,-1,-1
521119,39,-1,-1
521231,31,1,1
521299,19,-1,-1
521399,39,-1,-1
521471,31,1,1
521491,11,1,1
521519,39,-1,-1
521539,19,-1,-1
521659,19,-1,-1
521819,19,-1,-1
521831,31,1,1
521879,39,-1,-1
521999,39,-1,-1
522059,19,-1,-1
522191,31,1,1
522199,39,-1,-1
522211,11,1,1
522239,39,-1,-1
522251,11,1,1
522259,19,-1,-1
522371,11,1,1
522439,39,-1,-1
522479,39,-1,-1
522659,19,-1,-1
522679,39,-1,-1
522719,39,-1,-1
522811,11,1,1
522839,39,-1,-1
522919,39,-1,-1
522959,39,-1,-1
523031,31,1,1
523351,31,1,1
523459,19,-1,-1
523511,31,1,1
523631,31,1,1
523639,39,-1,-1
523771,11,1,1
524071,31,1,1
524099,19,-1,-1
524219,19,-1,-1
524351,31,1,1
524411,11,1,1
524519,39,-1,-1
524591,31,1,1
524599,39,-1,-1
524731,11,1,1
524831,31,1,1
524899,19,-1,-1
524939,19,-1,-1
524959,39,-1,-1
524971,11,1,1
524999,39,-1,-1
525191,31,1,1
525199,39,-1,-1
525299,19,-1,-1
525359,39,-1,-1
525431,31,1,1
525571,11,1,1
525599,39,-1,-1
525671,31,1,1
525719,39,-1,-1
525731,11,1,1
525739,19,-1,-1
525839,39,-1,-1
525979,19,-1,-1
526139,19,-1,-1
526159,39,-1,-1
526199,39,-1,-1
526271,31,1,1
526499,19,-1,-1
526531,11,1,1
526571,11,1,1
526619,19,-1,-1
526651,11,1,1
526679,39,-1,-1
526739,19,-1,-1
526759,39,-1,-1
526831,31,1,1
526859,19,-1,-1
526871,31,1,1
526931,11,1,1
526951,31,1,1
527071,31,1,1
527099,19,-1,-1
527159,39,-1,-1
527179,19,-1,-1
527251,11,1,1
527291,11,1,1
527399,39,-1,-1
527411,11,1,1
527591,31,1,1
527671,31,1,1
527699,19,-1,-1
527819,19,-1,-1
527851,11,1,1
528131,11,1,1
528299,19,-1,-1
528419,19,-1,-1
528511,31,1,1
528559,39,-1,-1
528611,11,1,1
528631,31,1,1
528659,19,-1,-1
528679,39,-1,-1
528691,11,1,1
528719,39,-1,-1
528779,19,-1,-1
528791,31,1,1
528799,39,-1,-1
528911,31,1,1
528971,11,1,1
529051,11,1,1
529259,19,-1,-1
529271,31,1,1
529519,39,-1,-1
529531,11,1,1
529619,19,-1,-1
529691,11,1,1
529751,31,1,1
529871,31,1,1
529939,19,-1,-1
529979,19,-1,-1
529999,39,-1,-1
530279,39,-1,-1
530339,19,-1,-1
530359,39,-1,-1
530531,11,1,1
530711,31,1,1
530731,11,1,1
531071,31,1,1
531079,39,-1,-1
531239,39,-1,-1
531299,19,-1,-1
531331,11,1,1
531359,39,-1,-1
531551,31,1,1
531571,11,1,1
531611,11,1,1
531631,31,1,1
531799,39,-1,-1
531871,31,1,1
532099,19,-1,-1
532159,39,-1,-1
532199,39,-1,-1
532379,19,-1,-1
532391,31,1,1
532439,39,-1,-1
532451,11,1,1
532531,11,1,1
532619,19,-1,-1
532739,19,-1,-1
532751,31,1,1
532771,11,1,1
532919,39,-1,-1
532999,39,-1,-1
533011,11,1,1
533051,11,1,1
533371,11,1,1
533399,39,-1,-1
533459,19,-1,-1
533671,31,1,1
533711,31,1,1
533719,39,-1,-1
533831,31,1,1
533879,39,-1,-1
533959,39,-1,-1
533999,39,-1,-1
534059,19,-1,-1
534091,11,1,1
534211,11,1,1
534311,31,1,1
534371,11,1,1
534431,31,1,1
534439,39,-1,-1
534511,31,1,1
534571,11,1,1
534659,19,-1,-1
534671,31,1,1
534739,19,-1,-1
534799,39,-1,-1
534839,39,-1,-1
534851,11,1,1
534931,11,1,1
534971,11,1,1
535019,19,-1,-1
535099,19,-1,-1
535159,39,-1,-1
535219,19,-1,-1
535319,39,-1,-1
535351,31,1,1
535391,31,1,1
535399,39,-1,-1
535499,19,-1,-1
535511,31,1,1
535571,11,1,1
535679,39,-1,-1
535751,31,1,1
535771,11,1,1
535859,19,-1,-1
535919,39,-1,-1
535991,31,1,1
535999,39,-1,-1
536051,11,1,1
536059,19,-1,-1
536099,19,-1,-1
536111,31,1,1
536219,19,-1,-1
536279,39,-1,-1
536311,31,1,1
536399,39,-1,-1
536479,39,-1,-1
536531,11,1,1
536651,11,1,1
536671,31,1,1
536699,19,-1,-1
536719,39,-1,-1
536771,11,1,1
536791,31,1,1
536891,11,1,1
537071,31,1,1
537079,39,-1,-1
537091,11,1,1
537191,31,1,1
537379,19,-1,-1
537599,39,-1,-1
537611,11,1,1
537739,19,-1,-1
537811,11,1,1
537899,19,-1,-1
537919,39,-1,-1
537991,31,1,1
538019,19,-1,-1
538079,39,-1,-1
538151,31,1,1
538159,39,-1,-1
538199,39,-1,-1
538259,19,-1,-1
538411,11,1,1
538511,31,1,1
538711,31,1,1
538739,19,-1,-1
538751,31,1,1
538799,39,-1,-1
538871,31,1,1
538931,11,1,1
538939,19,-1,-1
539039,39,-1,-1
539159,39,-1,-1
539171,11,1,1
539219,19,-1,-1
539339,19,-1,-1
539351,31,1,1
539479,39,-1,-1
539639,39,-1,-1
539711,31,1,1
539839,39,-1,-1
539899,19,-1,-1
540079,39,-1,-1
540119,39,-1,-1
540139,19,-1,-1
540179,19,-1,-1
540251,11,1,1
540271,31,1,1
540391,31,1,1
540539,19,-1,-1
540559,39,-1,-1
540599,39,-1,-1
540611,11,1,1
540619,19,-1,-1
540679,39,-1,-1
540851,11,1,1
541271,31,1,1
541339,19,-1,-1
541439,39,-1,-1
541511,31,1,1
541531,11,1,1
541571,11,1,1
541579,19,-1,-1
541631,31,1,1
541711,31,1,1
541771,11,1,1
541799,39,-1,-1
541859,19,-1,-1
541951,31,1,1
541999,39,-1,-1
542071,31,1,1
542111,31,1,1
542119,39,-1,-1
542219,19,-1,-1
542519,39,-1,-1
542551,31,1,1
542579,19,-1,-1
542599,39,-1,-1
542719,39,-1,-1
542771,11,1,1
542791,31,1,1
542831,31,1,1
542891,11,1,1
542939,19,-1,-1
542951,31,1,1
542999,39,-1,-1
543019,19,-1,-1
543131,11,1,1
543259,19,-1,-1
543299,19,-1,-1
543359,39,-1,-1
543539,19,-1,-1
543611,11,1,1
543659,19,-1,-1
543679,39,-1,-1
543811,11,1,1
543859,19,-1,-1
543911,31,1,1
544031,31,1,1
544139,19,-1,-1
544171,11,1,1
544199,39,-1,-1
544259,19,-1,-1
544399,39,-1,-1
544631,31,1,1
544699,19,-1,-1
544879,39,-1,-1
544979,19,-1,-1
545131,11,1,1
545291,11,1,1
545579,19,-1,-1
545711,31,1,1
545731,11,1,1
545759,39,-1,-1
545939,19,-1,-1
546019,19,-1,-1
546031,31,1,1
546071,31,1,1
546179,19,-1,-1
546239,39,-1,-1
546599,39,-1,-1
546619,19,-1,-1
546671,31,1,1
546691,11,1,1
546719,39,-1,-1
546731,11,1,1
546859,19,-1,-1
547139,19,-1,-1
547399,39,-1,-1
547411,11,1,1
547471,31,1,1
547499,19,-1,-1
547559,39,-1,-1
547619,19,-1,-1
547639,39,-1,-1
547819,19,-1,-1
547871,31,1,1
547999,39,-1,-1
548039,39,-1,-1
548059,19,-1,-1
548099,19,-1,-1
548239,39,-1,-1
548371,11,1,1
548399,39,-1,-1
548459,19,-1,-1
548519,39,-1,-1
548579,19,-1,-1
548591,31,1,1
548671,31,1,1
548719,39,-1,-1
548771,11,1,1
548791,31,1,1
548831,31,1,1
548851,11,1,1
549011,11,1,1
549019,19,-1,-1
549071,31,1,1
549091,11,1,1
549139,19,-1,-1
549259,19,-1,-1
549319,39,-1,-1
549331,11,1,1
549379,19,-1,-1
549391,31,1,1
549511,31,1,1
549551,31,1,1
549719,39,-1,-1
549839,39,-1,-1
549911,31,1,1
549979,19,-1,-1
550111,31,1,1
550139,19,-1,-1
550211,11,1,1
550351,31,1,1
550379,19,-1,-1
550519,39,-1,-1
550531,11,1,1
550631,31,1,1
550679,39,-1,-1
550811,11,1,1
550831,31,1,1
550859,19,-1,-1
550939,19,-1,-1
550951,31,1,1
551039,39,-1,-1
551059,19,-1,-1
551099,19,-1,-1
551179,19,-1,-1
551219,19,-1,-1
551231,31,1,1
551311,31,1,1
551339,19,-1,-1
551519,39,-1,-1
551539,19,-1,-1
551651,11,1,1
551911,31,1,1
551959,39,-1,-1
552011,11,1,1
552031,31,1,1
552059,19,-1,-1
552091,11,1,1
552179,19,-1,-1
552239,39,-1,-1
552379,19,-1,-1
552491,11,1,1
552611,11,1,1
552659,19,-1,-1
552731,11,1,1
552751,31,1,1
552791,31,1,1
552899,19,-1,-1
552971,11,1,1
552991,31,1,1
553099,19,-1,-1
553139,19,-1,-1
553211,11,1,1
553279,39,-1,-1
553439,39,-1,-1
553471,31,1,1
553699,19,-1,-1
553759,39,-1,-1
553811,11,1,1
553919,39,-1,-1
553991,31,1,1
554011,11,1,1
554171,11,1,1
554179,19,-1,-1
554419,19,-1,-1
554531,11,1,1
554639,39,-1,-1
554699,19,-1,-1
554711,31,1,1
554731,11,1,1
554759,39,-1,-1
554791,31,1,1
554899,19,-1,-1
554951,31,1,1
554959,39,-1,-1
555119,39,-1,-1
555251,11,1,1
555419,19,-1,-1
555671,31,1,1
555691,11,1,1
555739,19,-1,-1
555871,31,1,1
555931,11,1,1
556051,11,1,1
556211,11,1,1
556219,19,-1,-1
556331,11,1,1
556351,31,1,1
556519,39,-1,-1
556559,39,-1,-1
556579,19,-1,-1
556639,39,-1,-1
556679,39,-1,-1
556691,11,1,1
556799,39,-1,-1
556819,19,-1,-1
556859,19,-1,-1
556931,11,1,1
556939,19,-1,-1
556999,39,-1,-1
557059,19,-1,-1
557159,39,-1,-1
557339,19,-1,-1
557519,39,-1,-1
557639,39,-1,-1
557671,31,1,1
557759,39,-1,-1
557779,19,-1,-1
557831,31,1,1
557891,11,1,1
557899,19,-1,-1
558091,11,1,1
558139,19,-1,-1
558179,19,-1,-1
558319,39,-1,-1
558431,31,1,1
558479,39,-1,-1
558491,11,1,1
558499,19,-1,-1
558539,19,-1,-1
558599,39,-1,-1
558611,11,1,1
558791,31,1,1
559051,11,1,1
559099,19,-1,-1
559211,11,1,1
559219,19,-1,-1
559231,31,1,1
559259,19,-1,-1
559319,39,-1,-1
559451,11,1,1
559459,19,-1,-1
559571,11,1,1
559591,31,1,1
559679,39,-1,-1
559739,19,-1,-1
559799,39,-1,-1
559859,19,-1,-1
559939,19,-1,-1
559991,31,1,1
560039,39,-1,-1
560159,39,-1,-1
560171,11,1,1
560179,19,-1,-1
560191,31,1,1
560239,39,-1,-1
560411,11,1,1
560459,19,-1,-1
560471,31,1,1
560479,39,-1,-1
560491,11,1,1
560531,11,1,1
560639,39,-1,-1
560771,11,1,1
560891,11,1,1
560939,19,-1,-1
561059,19,-1,-1
561079,39,-1,-1
561091,11,1,1
561199,39,-1,-1
561251,11,1,1
561359,39,-1,-1
561439,39,-1,-1
561551,31,1,1
561559,39,-1,-1
561599,39,-1,-1
561839,39,-1,-1
561931,11,1,1
562019,19,-1,-1
562091,11,1,1
562231,31,1,1
562259,19,-1,-1
562291,11,1,1
562439,39,-1,-1
562459,19,-1,-1
562579,19,-1,-1
562591,31,1,1
562651,11,1,1
562691,11,1,1
562739,19,-1,-1
562831,31,1,1
562931,11,1,1
562979,19,-1,-1
563011,11,1,1
563039,39,-1,-1
563051,11,1,1
563099,19,-1,-1
563119,39,-1,-1
563219,19,-1,-1
563351,31,1,1
563359,39,-1,-1
563419,19,-1,-1
563551,31,1,1
563599,39,-1,-1
563831,31,1,1
563851,11,1,1
563971,11,1,1
563999,39,-1,-1
564059,19,-1,-1
564191,31,1,1
564251,11,1,1
564299,19,-1,-1
564359,39,-1,-1
564371,11,1,1
564391,31,1,1
564419,19,-1,-1
564491,11,1,1
564671,31,1,1
564679,39,-1,-1
564779,19,-1,-1
564899,19,-1,-1
564919,39,-1,-1
564959,39,-1,-1
564979,19,-1,-1
565039,39,-1,-1
565171,11,1,1
565259,19,-1,-1
565319,39,-1,-1
565379,19,-1,-1
565451,11,1,1
565519,39,-1,-1
565559,39,-1,-1
565571,11,1,1
565651,11,1,1
565771,11,1,1
565891,11,1,1
565919,39,-1,-1
565979,19,-1,-1
566131,11,1,1
566179,19,-1,-1
566231,31,1,1
566311,31,1,1
566551,31,1,1
566639,39,-1,-1
566659,19,-1,-1
566759,39,-1,-1
566879,39,-1,-1
566911,31,1,1
566939,19,-1,-1
