p,p_mod40,S_p,sgn
40499,19,-1,-1
40531,11,1,1
40559,39,-1,-1
40591,31,1,1
40639,39,-1,-1
40739,19,-1,-1
40751,31,1,1
40759,39,-1,-1
40819,19,-1,-1
40879,39,-1,-1
41039,39,-1,-1
41051,11,1,1
41179,19,-1,-1
41399,39,-1,-1
41479,39,-1,-1
41491,11,1,1
41519,39,-1,-1
41539,19,-1,-1
41579,19,-1,-1
41659,19,-1,-1
41759,39,-1,-1
41771,11,1,1
41851,11,1,1
41879,39,-1,-1
42071,31,1,1
42131,11,1,1
42139,19,-1,-1
42179,19,-1,-1
42239,39,-1,-1
42299,19,-1,-1
42331,11,1,1
42359,39,-1,-1
42499,19,-1,-1
42611,11,1,1
42751,31,1,1
42839,39,-1,-1
42899,19,-1,-1
43019,19,-1,-1
43051,11,1,1
43159,39,-1,-1
43271,31,1,1
43291,11,1,1
43319,39,-1,-1
43331,11,1,1
43391,31,1,1
43411,11,1,1
43451,11,1,1
43499,19,-1,-1
43579,19,-1,-1
43591,31,1,1
43691,11,1,1
43711,31,1,1
43759,39,-1,-1
43991,31,1,1
44119,39,-1,-1
44159,39,-1,-1
44279,39,-1,-1
44351,31,1,1
44371,11,1,1
44519,39,-1,-1
44531,11,1,1
44579,19,-1,-1
44699,19,-1,-1
44711,31,1,1
44771,11,1,1
44819,19,-1,-1
44839,39,-1,-1
44851,11,1,1
44879,39,-1,-1
44939,19,-1,-1
44959,39,-1,-1
44971,11,1,1
45119,39,-1,-1
45131,11,1,1
45139,19,-1,-1
45179,19,-1,-1
45191,31,1,1
45319,39,-1,-1
45439,39,-1,-1
45491,11,1,1
45599,39,-1,-1
45631,31,1,1
45659,19,-1,-1
45779,19,-1,-1
45959,39,-1,-1
45971,11,1,1
45979,19,-1,-1
46051,11,1,1
46091,11,1,1
46099,19,-1,-1
46171,11,1,1
46199,39,-1,-1
46219,19,-1,-1
46271,31,1,1
46351,31,1,1
46399,39,-1,-1
46439,39,-1,-1
46451,11,1,1
46471,31,1,1
46499,19,-1,-1
46559,39,-1,-1
46619,19,-1,-1
46679,39,-1,-1
46771,11,1,1
46811,11,1,1
46919,39,-1,-1
47051,11,1,1
47059,19,-1,-1
47111,31,1,1
47119,39,-1,-1
47279,39,-1,-1
47339,19,-1,-1
47351,31,1,1
47431,31,1,1
47459,19,-1,-1
47491,11,1,1
47599,39,-1,-1
47639,39,-1,-1
47699,19,-1,-1
47791,31,1,1
47819,19,-1,-1
47939,19,-1,-1
47951,31,1,1
48079,39,-1,-1
48091,11,1,1
48119,39,-1,-1
48239,39,-1,-1
48259,19,-1,-1
48271,31,1,1
48299,19,-1,-1
48311,31,1,1
48371,11,1,1
48479,39,-1,-1
48491,11,1,1
48539,19,-1,-1
48611,11,1,1
48679,39,-1,-1
48731,11,1,1
48779,19,-1,-1
48859,19,-1,-1
49019,19,-1,-1
49031,31,1,1
49139,19,-1,-1
49199,39,-1,-1
49279,39,-1,-1
49331,11,1,1
49339,19,-1,-1
49391,31,1,1
49451,11,1,1
49499,19,-1,-1
49531,11,1,1
49559,39,-1,-1
49639,39,-1,-1
49739,19,-1,-1
49811,11,1,1
49871,31,1,1
49919,39,-1,-1
49939,19,-1,-1
49999,39,-1,-1
50111,31,1,1
50119,39,-1,-1
50131,11,1,1
50159,39,-1,-1
50231,31,1,1
50411,11,1,1
50459,19,-1,-1
50591,31,1,1
50599,39,-1,-1
50651,11,1,1
50839,39,-1,-1
50891,11,1,1
50951,31,1,1
50971,11,1,1
51031,31,1,1
51059,19,-1,-1
51071,31,1,1
51131,11,1,1
51151,31,1,1
51199,39,-1,-1
51239,39,-1,-1
51419,19,-1,-1
51479,39,-1,-1
51539,19,-1,-1
51551,31,1,1
51599,39,-1,-1
51631,31,1,1
51659,19,-1,-1
51719,39,-1,-1
51839,39,-1,-1
51859,19,-1,-1
51899,19,-1,-1
51971,11,1,1
51991,31,1,1
52051,11,1,1
52259,19,-1,-1
52379,19,-1,-1
52391,31,1,1
52571,11,1,1
52631,31,1,1
52639,39,-1,-1
52691,11,1,1
52711,31,1,1
52859,19,-1,-1
52879,39,-1,-1
52919,39,-1,-1
52951,31,1,1
52999,39,-1,-1
53051,11,1,1
53171,11,1,1
53231,31,1,1
53239,39,-1,-1
53279,39,-1,-1
